	Party	Angel 	Archer	Bat	Behemoth	Beholder	Cleric Moon	Cleric Sun	Devil	Dragon	Dragonfly	Dwarf	Elemental Air	Elemental Earth	Elemental Fire	Elemental Light	Elemental Water	Elf Archer	Elf Spearman	Fighter Chain	Fighter Leather	Fighter Plate	Gargoyle	Genie	Ghost	Goblin	Gog	Golem	Griffin	Harpy	Hydra	Lich	Mage	Manticore	Medusa	Minotaur	Monk	Necromancer	Ooze	Peasant Dwarf Male A	Peasant Dwarf Male B	Peasant Dwarf Male C	Peasant Dwarf Female A	Peasant Dwarf Female B	Peasant Dwarf Female C	Peasant Elf Male A	Peasant Elf Male B	Peasant Elf Male C	Peasant Elf Female A	Peasant Elf Female B	Peasant Elf Female C	Peasant Human Female 1 A	Peasant Human Female 1 B	Peasant Human Female 1 C	Peasant Human Male 1 A	Peasant Human Male 1 B	Peasant Human Male 1 C	Peasant Human Female 2 A	Peasant Human Female 2 B	Peasant Human Female 2 C	Peasant Human Male 2 A	Peasant Human Male 2 B	Peasant Human Male 2 C	Rat	Robot	Roc	Shark	Skeleton Warrior	Spider	Swordsman	Thief	Titan	Troglodyte	Vampire	Warlock	Wight	Wyvern	Zombie	Peasant Goblin Female A	Peasant Goblin Female B	Peasant Goblin Female C	Peasant Goblin Male A	Peasant Goblin Male B	Peasant Goblin Male C	Troll	Treant	Ghoul	Blaster	Mega
Party	0	0	0	4	3	4	0	0	3	4	2	0	3	3	3	0	3	0	0	0	3	0	0	4	4	2	4	0	0	0	3	0	0	2	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	4	2	3	0	3	4	3	0	0	2	4	0	0	0	0	0	0	0	2	0	0	2	2
Angel	0	0	0	0	3	4	3	0	3	4	0	0	0	3	3	0	3	0	0	0	0	0	0	0	4	2	4	0	0	4	3	4	0	2	3	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	4	2	0	0	3	4	3	4	4	2	4	2	2	1	1	1	1	1	2	1	2	2	2
Archer	0	0	0	2	3	4	0	0	3	4	3	0	3	3	3	0	3	4	3	0	0	0	0	4	4	2	4	0	0	4	3	4	0	2	3	2	0	4	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	4	2	0	0	0	4	3	4	4	2	4	2	2	1	1	1	1	1	2	1	2	2	2
Bat	0	4	4	0	0	0	0	0	3	4	3	0	3	0	3	3	3	4	3	2	2	2	0	0	0	0	0	1	4	0	0	0	4	0	0	0	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	0	0	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Behemoth	0	4	4	0	0	0	3	0	3	4	3	2	3	0	3	3	3	4	3	2	2	2	0	4	4	2	0	1	4	0	0	0	4	0	0	0	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	0	0	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Beholder	0	4	4	0	0	0	3	3	3	4	3	2	3	3	3	3	3	4	3	2	2	2	0	4	4	2	0	1	4	0	0	0	4	0	0	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	0	0	2	3	4	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
Cleric Moon	0	4	0	0	3	0	0	3	3	4	3	2	3	3	3	3	3	4	3	2	2	2	0	4	0	0	0	1	4	0	0	0	4	0	0	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	0	0	2	0	4	3	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0
Cleric Sun	0	0	0	2	3	4	3	0	3	4	3	0	0	3	0	0	3	0	0	0	0	0	0	0	4	2	4	0	0	4	3	4	0	2	3	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	4	2	0	0	0	4	3	4	4	2	4	2	2	1	1	1	1	1	2	1	2	2	2
Devil	0	4	4	0	3	4	3	3	0	4	3	2	3	3	0	3	3	4	3	2	2	2	0	4	4	2	4	1	4	4	3	4	4	2	3	2	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	2	0	2	3	4	3	4	4	2	4	2	2	1	1	1	1	1	2	1	2	2	2
Dragon	0	4	4	0	3	4	3	3	3	0	3	2	3	3	0	3	3	4	3	2	2	2	0	4	4	2	4	1	4	4	3	4	4	2	3	2	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	4	4	2	0	2	3	0	3	4	4	2	4	2	2	1	1	1	1	1	2	1	2	2	2
