Monster	Undead	Demon	Dragon	Elf	Swimmer	Immobile	Titan	NoArena
0	-	-	-	-	-	-	-	-
1  Angel A	-	-	-	-	-	-	-	-
2  Angel B	-	-	-	-	-	-	-	-
3  Angel C	-	-	-	-	-	-	-	-
4  Archer A	-	-	-	-	-	-	-	-
5  Archer B	-	-	-	-	-	-	-	-
6  Archer C	-	-	-	-	-	-	-	-
7  Bat A	-	-	-	-	-	-	-	-
8  Bat B	-	-	-	-	-	-	-	-
9  Bat C	-	-	-	-	-	-	-	-
10  Behemoth A	-	-	-	-	-	-	-	-
11  Behemoth B	-	-	-	-	-	-	-	-
12  Behemoth C	-	-	-	-	-	-	-	-
13  Beholder A	-	-	-	-	-	-	-	-
14  Beholder B	-	-	-	-	-	-	-	-
15  Beholder C	-	-	-	-	-	-	-	-
16  Cleric Moon A	-	-	-	-	-	-	-	-
17  Cleric Moon B	-	-	-	-	-	-	-	-
18  Cleric Moon C	-	-	-	-	-	-	-	-
19  Cleric Sun A	-	-	-	-	-	-	-	-
20  Cleric Sun B	-	-	-	-	-	-	-	-
21  Cleric Sun C	-	-	-	-	-	-	-	-
22  Devil A	-	x	-	-	-	-	-	-
23  Devil B	-	x	-	-	-	-	-	-
24  Devil C	-	x	-	-	-	-	-	-
25  Dragon A	-	-	x	-	-	-	-	-
26  Dragon B	-	-	x	-	-	-	-	-
27  Dragon C	-	-	x	-	-	-	-	-
28  Dragonfly A	-	-	-	-	-	-	-	-
29  Dragonfly B	-	-	-	-	-	-	-	-
30  Dragonfly C	-	-	-	-	-	-	-	-
31  Dwarf A	-	-	-	-	-	-	-	-
32  Dwarf B	-	-	-	-	-	-	-	-
33  Dwarf C	-	-	-	-	-	-	-	-
34  Elemental Air A	-	-	-	-	-	-	-	-
35  Elemental Air B	-	-	-	-	-	-	-	-
36  Elemental Air C	-	-	-	-	-	-	-	-
37  Elemental Earth A	-	-	-	-	-	-	-	-
38  Elemental Earth B	-	-	-	-	-	-	-	-
39  Elemental Earth C	-	-	-	-	-	-	-	-
40  Elemental Fire A	-	-	-	-	-	-	-	-
41  Elemental Fire B	-	-	-	-	-	-	-	-
42  Elemental Fire C	-	-	-	-	-	-	-	-
