Name	Id	Radius	Height	Invisible	Untouchable	Temporary	LifetimeInSFT	NoPickup	NoGravity	InterceptAction	Bounce	TrailParticles	TrailFire	TrailLine	SFTGroup	LifeTime	Speed	ParticleR	ParticleG	ParticleB	ParticleA
Null	0	16	16	-	-	-	-	-	-	-	-	-	-	-	null	0	0	0	0	0	0
Widget	666	8	6	-	-	x	-	x	-	-	x	x	-	-	null	768	1000	64	128	64	0
longsword	1	64	64	-	-	-	-	-	-	-	x	-	-	-	obj001	0	0	0	0	0	0
2 handed sword	2	64	64	-	-	-	-	-	-	-	x	-	-	-	obj006	0	0	0	0	0	0
Broadsword	3	64	64	-	-	-	-	-	-	-	x	-	-	-	obj009	0	0	0	0	0	0
Cutlass	4	64	64	-	-	-	-	-	-	-	x	-	-	-	obj012	0	0	0	0	0	0
Dagger	5	64	64	-	-	-	-	-	-	-	x	-	-	-	obj016	0	0	0	0	0	0
Long Dagger	6	64	64	-	-	-	-	-	-	-	x	-	-	-	obj016	0	0	0	0	0	0
axe	7	64	64	-	-	-	-	-	-	-	x	-	-	-	obj023	0	0	0	0	0	0
Two handed axe	8	64	64	-	-	-	-	-	-	-	x	-	-	-	obj028	0	0	0	0	0	0
Spear	9	64	64	-	-	-	-	-	-	-	x	-	-	-	obj031	0	0	0	0	0	0
Halberd	10	64	64	-	-	-	-	-	-	-	x	-	-	-	obj036	0	0	0	0	0	0
Trident	11	64	64	-	-	-	-	-	-	-	x	-	-	-	obj039	0	0	0	0	0	0
Long bow	12	64	64	-	-	-	-	-	-	-	x	-	-	-	obj042	0	0	0	0	0	0
Crossbow	13	64	64	-	-	-	-	-	-	-	x	-	-	-	obj047	0	0	0	0	0	0
Mace	14	64	64	-	-	-	-	-	-	-	x	-	-	-	obj050	0	0	0	0	0	0
Hammer	15	64	64	-	-	-	-	-	-	-	x	-	-	-	obj055	0	0	0	0	0	0
Club	16	64	64	-	-	-	-	-	-	-	x	-	-	-	obj058	0	0	0	0	0	0
Staff	17	64	64	-	-	-	-	-	-	-	x	-	-	-	obj061	0	0	0	0	0	0
Blaster Pistol	18	64	64	-	-	-	-	-	-	-	x	-	-	-	obj064	0	0	0	0	0	0
Blaster Rifle	19	64	64	-	-	-	-	-	-	-	x	-	-	-	obj065	0	0	0	0	0	0
Leather Armor	20	64	64	-	-	-	-	-	-	-	x	-	-	-	obj066	0	0	0	0	0	0
Chainmail 	21	64	64	-	-	-	-	-	-	-	x	-	-	-	obj071	0	0	0	0	0	0
Plate mail 	22	64	64	-	-	-	-	-	-	-	x	-	-	-	obj076	0	0	0	0	0	0
Large Shield	23	64	64	-	-	-	-	-	-	-	x	-	-	-	obj079	0	0	0	0	0	0
Small Shield 	24	64	64	-	-	-	-	-	-	-	x	-	-	-	OBJ084	0	0	0	0	0	0
Helm	25	64	64	-	-	-	-	-	-	-	x	-	-	-	OBJ090	0	0	0	0	0	0
Hat	26	64	64	-	-	-	-	-	-	-	x	-	-	-	OBJ094	0	0	0	0	0	0
Crown	27	64	64	-	-	-	-	-	-	-	x	-	-	-	obj097	0	0	0	0	0	0
