Name	Id	Type	Is3D
	0	system	-
campfire	4	0	-
enter	6	system	-
wooddrclose	7	system	-
fireBall	8	system	-
fountain	10	0	x
boat	18	0	x
ClickIn	19	system	-
ClickMinus	20	system	-
ClickMovingSelector	21	system	-
ClickOut	22	system	-
ClickPlus	23	system	-
ClickSkill	24	system	-
ClickStart	25	system	-
pending	26	system	-
Error	27	system	-
hit with arrow01l	28	system	-
metal vs leather03h	44	system	-
metal vs metal01l	45	system	-
metal vs metal03h	47	system	-
	48	system	-
RunBadlands	49	0	x
RunCarpet	50	0	x
RunCooledLava	51	0	x
RunDesert	52	0	x
RunDirt	53	0	x
RunGrass	54	0	x
RunIce	55	0	x
RunMud	56	0	x
RunRoad	57	0	x
RunSnow	58	0	x
RunStone	59	0	x
RunStoneHall	60	0	x
RunSwamp	61	0	x
RunWater	62	0	x
RunWaterIndoor	63	0	x
RunWood	64	0	x
RunWoodPlanking	65	0	-
SelectingANewCharacter	66	system	-
shoot blaster01	67	system	-
shoot bow01	71	system	x
StartMainChoice01	74	system	-
StartMainChoice02	75	system	-
StartMainChoice03	76	system	-
StartMainChoice04	77	system	-
swing with axe01	78	system	-
swing with axe03	80	system	-
swing with blunt weapon01	81	system	-
swing with blunt weapon03	83	system	-
swing with sword01	84	system	-
swing with sword02	85	system	-
ViewingANewCharacter	87	system	-
WalkBadlands	88	0	x
WalkCarpet	89	0	x
WalkCooledLava	90	0	x
WalkDesert	91	0	x
WalkDirt	92	0	x
WalkGrass	93	0	x
WalkIce	94	0	x
WalkMud	95	0	x
WalkRoad	96	0	x
WalkSnow	97	0	x
WalkStone	98	0	x
WalkStoneHall	99	0	x
WalkSwamp	100	0	x
WalkWater	101	0	x
WalkWaterIndoor	102	0	x
WalkWood	103	0	x
WalkWoodPlanking	104	0	x
wood vs metal01l	105	system	-
wood vs metal02m	106	system	-
wood vs metal03h	107	system	-
wood weapon vs leather01l	108	system	-
wood weapon vs leather02m	109	system	-
wood weapon vs leather03h	110	system	-
bricks down	120	0	-
bricks up	121	0	-
damage	122	0	-
