	ID	NPC_ID	Name	Map	X	Y	Z	Skill	Mastery	Gold	GoldW	GoldBuySkill	SkillPoints	SkillPointsW	AllowSkillBuy	RecommendNPC	TxtMasterDes	TxtRecommendDes	Autonote	TextSkillLearned	TextSkillAlreadyKnown	TextNotEnoughGold	TextWrongClass
1	amberalchemyexp	453	Harley Payne	amber.odm	10292	-10103	161	Alchemy	E	500	1250	400	4	4	1	0	474		Alchemy Expert, Harley Payne\n\nAmber Island: Single hut - Central swamp island.	 	 	 	 
2	amberarmsexp	454	Bellona Kemp	amber.odm	20938	-19848	1	Armsmaster	E	2000	3000	400	4	4	1	0	468	 	Armmaster Expert, Bellona Kemp\n\nAmber Island: Knight camp - Southeastern Swamp Island.	 	 	 	 
3	amberaxeexp	455	Woodrow Marley	amber.odm	-2619	8803	17	Axe	E	2000	3000	400	4	4	1	0	378	 	Axe Expert, Woodrow Marley\n\nAmber Island: Stone house - Town, Western District, near the training grounds.	 	 	 	 
4	amberbodybuildexp	456	Trevor Gully	amber.odm	-2786	10918	1	Bodybuilding	E	500	1250	400	4	4	1	0	441	 	Bodybuilding Expert, Trevor Gully\n\nAmber Island: Training Grounds (interior) - Town, Western District.	 	 	 	 
5	amberbowexp	457	Robin Stringer	amber.odm	-150	7010	129	Bow	E	2000	3000	400	4	4	1	0	384	 	Bow Expert, Robin Stringer\n\nAmber Island: Elven house - Town, Western District, near the inn.	Excellent! You've got a keen eye and steady hand now. Keep practicing, and soon you'll be as swift as the wind!	Ah, I see \01265523you're already an archer!\01200000 Your stance and the way you carry your quiver told me as much. It's always a pleasure to meet a fellow enthusiast. How can I help you hone your skills further?	Ah, it seems \01265523you're a bit short on gold\01200000. Return when you've gathered enough, and I'll teach you the secrets of the bow.	 The \01265523bow\01200000 requires a certain discipline that does not align with your training. I cannot teach you.
6	amberchainexp	458	Raymond Hoggard	amber.odm	-4545	4288	1	Chain	E	1000	2250	400	4	4	1	0	399	 	Raymond Hoggard\n\nAmber Island: First yellow house - Town, Western entrance.	 	 	 	 
7	amberdaggerexp	459	Hector Messer	amber.odm	-461	4508	133	Dagger	E	2000	3000	400	4	4	1	0	375	 	Dagger Expert, Hector Messer\n\nAmber Island: Small yellow house - Town, Western District, near the prison tower.	 	 	 	 
8	amberdisarmexp	460	Wright	amber.odm	-18098	-8633	0	DisarmTraps	E	500	1250	400	4	4	1	0	456	 	Disarm Trap Expert, Wright\n\nAmber Island: Tent - Port Island, on the road to town.	 	 	 	 
9	amberdodgingexp	461	Hazel Quick	amber.odm	-4572	6232	0	Dodging	E	2000	3000	400	4	4	1	0	459	 	Dodging Expert, Hazel Quick\n\nAmber Island: 3rd western wattle-and-daub house - Town, Western entrance.	 	 	 	 
10	amberitemidexp	462	Rana Winter	amber.odm	3965	12479	385	IdentifyItem	E	500	1250	400	4	4	1	0	432	 	Identify Item Expert, Rana Winter\n\nAmber Island: East duplex - Town, Rich District.	 	 	 	 
11	ambermonsteridexp	463	Sullivan Winter	amber.odm	3965	12479	385	IdentifyMonster	E	500	1250	400	4	4	1	0	465	 	Identify Monster Expert, Sullivan Winter\n\nAmber Island: East duplex - Town, Rich District.	 	 	 	 
